"(192, 128)","(64, 128)"
100,10
100,10
100,10
98,9
97,8
95,5
88,0
85,0
79,0
75,0
72,0
70,0
68,0
66,0
62,0
61,0
55,0
52,0
50,0
47,0
41,0
39,0
36,0
32,0
30,0
25,0
25,0
20,0
17,0
16,0
11,0
9,0
