,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,112.0,0.0
1,216.0,224.0,232.0,0.0,72.0,80.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,104.0,0.0,0.0,112.0
2,24.0,0.0,0.0,288.0,8.0,16.0,72.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,96.0,0.0,0.0,0.0,112.0
3,0.0,8.0,56.0,8.0,248.0,224.0,216.0,304.0,0.0,0.0,0.0,0.0,112.0,112.0,104.0,0.0,0.0,0.0,0.0,128.0
4,0.0,40.0,0.0,8.0,8.0,40.0,0.0,0.0,304.0,192.0,192.0,192.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,152.0
5,40.0,0.0,0.0,16.0,8.0,0.0,40.0,0.0,128.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,8.0,0.0,160.0,8.0
6,8.0,0.0,8.0,8.0,0.0,0.0,0.0,40.0,128.0,0.0,0.0,0.0,80.0,0.0,112.0,104.0,112.0,176.0,0.0,8.0
7,32.0,24.0,0.0,8.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,56.0,40.0,232.0,112.0,0.0,88.0,8.0,0.0,8.0
8,8.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,80.0,224.0,0.0,0.0,200.0,120.0,112.0,0.0,0.0
9,0.0,0.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,200.0,40.0,296.0,0.0,0.0,88.0,0.0,0.0,8.0,104.0,8.0
10,0.0,0.0,0.0,32.0,24.0,0.0,0.0,0.0,64.0,64.0,824.0,72.0,80.0,88.0,0.0,0.0,8.0,0.0,0.0,96.0
11,0.0,8.0,8.0,0.0,8.0,0.0,0.0,56.0,0.0,152.0,0.0,88.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,96.0
12,8.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,128.0,24.0,0.0,0.0,88.0,8.0,8.0,0.0,0.0,0.0,0.0,96.0
13,40.0,48.0,48.0,48.0,56.0,0.0,8.0,136.0,0.0,8.0,16.0,8.0,0.0,96.0,8.0,0.0,0.0,0.0,0.0,88.0
14,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,8.0,0.0,32.0,0.0,0.0,32.0,64.0,72.0,64.0,0.0,8.0,72.0
15,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,8.0,0.0,32.0,0.0,8.0,24.0,0.0,0.0,0.0,72.0,0.0,64.0
16,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,8.0,8.0,40.0,0.0,0.0,24.0,0.0,8.0,64.0,0.0,56.0
17,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,16.0,32.0,8.0,72.0,8.0,56.0
18,0.0,112.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,16.0,32.0,8.0,64.0,0.0,48.0
19,112.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,32.0,80.0,16.0,48.0
